
#
# Results on Tuesday November 05 2019 22:42:12 UTC.
# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36
# Design number was non-random = 1
#
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Field name.
# 9. Field value.
1572993732,280ff30ca10f0671011cddbe166b762e,NewForm,0,0,agreement,NULL,,yes
1572993732,280ff30ca10f0671011cddbe166b762e,NewForm,0,0,agreement,NULL,_REACTION_TIME_,2446
1572993732,280ff30ca10f0671011cddbe166b762e,NewForm,1,0,instructions1,NULL,,yes
1572993732,280ff30ca10f0671011cddbe166b762e,NewForm,1,0,instructions1,NULL,_REACTION_TIME_,6317
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Question (NULL if none).
# 9. Answer.
# 10. Whether or not answer was correct (NULL if N/A).
# 11. Time taken to answer.
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,5,0,practice-some,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'> 20% of the glerbs are fizda.</font></i></div></center><h2>Some of the glerbs are fizda.</h2></body>,True,NULL,2708
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,14,0,Test-More-than-half-7-gukbar-soarse,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>7% of the gukbars are soarse.</font></i></div></center><h2>It is not the case that more than half of the gukbars are soarse.</h2></body>,False,NULL,525
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,125,0,Test-Some-Neg-28-monter-melelt,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>28% of the monters are melelt.</font></i></div></center><h2>It is not the case that some of the monters are melelt.</h2></body>,False,NULL,531
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,54,0,Test-More-than-half-96-ingell-nalill,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>96% of the ingells are nalill.</font></i></div></center><h2>It is not the case that more than half of the ingells are nalill.</h2></body>,True,NULL,1154
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,129,0,Test-Some-Neg-58-russer-huttle,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>58% of the russers are huttle.</font></i></div></center><h2>It is not the case that some of the russers are huttle.</h2></body>,True,NULL,522
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,53,0,Test-More-than-half-84-awplor-fasees,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>84% of the awplors are fasees.</font></i></div></center><h2>It is not the case that more than half of the awplors are fasees.</h2></body>,False,NULL,744
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,99,0,Test-Some-100-puctor-recure,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>100% of the puctors are recure.</font></i></div></center><h2>Some of the puctors are recure.</h2></body>,False,NULL,795
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,83,0,Test-Some-71-cather-funder,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>71% of the cathers are funder.</font></i></div></center><h2>Some of the cathers are funder.</h2></body>,True,NULL,988
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,69,0,Test-Some-30-shamer-bloif,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>30% of the shamers are bloif.</font></i></div></center><h2>Some of the shamers are bloif.</h2></body>,False,NULL,2415
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,32,0,Test-More-than-half-59-pluset-stubad,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>59% of the plusets are stubad.</font></i></div></center><h2>It is not the case that more than half of the plusets are stubad.</h2></body>,False,NULL,736
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,57,0,Test-Some-16-puggle-entand,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>16% of the puggles are entand.</font></i></div></center><h2>Some of the puggles are entand.</h2></body>,True,NULL,1341
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,64,0,Test-All-6-clidge-hensly,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>6% of the clidges are hensly.</font></i></div></center><h2>All of the clidges are hensly.</h2></body>,True,NULL,827
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,61,0,Test-Some-15-mecket-plumry,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>15% of the meckets are plumry.</font></i></div></center><h2>Some of the meckets are plumry.</h2></body>,True,NULL,806
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,56,0,Test-All-17-kustle-reshix,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>17% of the kustles are reshix.</font></i></div></center><h2>All of the kustles are reshix.</h2></body>,True,NULL,1145
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,59,0,Test-Some-4-chulk-vulhor,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>4% of the chulks are vulhor.</font></i></div></center><h2>Some of the chulks are vulhor.</h2></body>,False,NULL,584
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,150,0,Test-All-Neg-88-ingell-nalill,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>88% of the ingells are nalill.</font></i></div></center><h2>It is not the case that all of the ingells are nalill.</h2></body>,False,NULL,685
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,142,0,Test-All-Neg-89-padnet-fanely,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>89% of the padnets are fanely.</font></i></div></center><h2>It is not the case that all of the padnets are fanely.</h2></body>,True,NULL,1032
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,12,0,Test-More-than-half-10-werner-hurmer,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>10% of the werners are hurmer.</font></i></div></center><h2>It is not the case that more than half of the werners are hurmer.</h2></body>,False,NULL,923
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,18,0,Test-More-than-half-9-shrile-athoid,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>9% of the shriles are athoid.</font></i></div></center><h2>It is not the case that more than half of the shriles are athoid.</h2></body>,False,NULL,704
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,90,0,Test-All-70-pliper-sesare,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>70% of the plipers are sesare.</font></i></div></center><h2>All of the plipers are sesare.</h2></body>,True,NULL,806
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,115,0,Test-Some-Neg-29-coamin-mucond,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>29% of the coamins are mucond.</font></i></div></center><h2>It is not the case that some of the coamins are mucond.</h2></body>,False,NULL,769
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,36,0,Test-More-than-half-65-tecker-biller,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>65% of the teckers are biller.</font></i></div></center><h2>It is not the case that more than half of the teckers are biller.</h2></body>,False,NULL,969
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,47,0,Test-More-than-half-94-boddle-molill,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>94% of the boddles are molill.</font></i></div></center><h2>It is not the case that more than half of the boddles are molill.</h2></body>,False,NULL,1941
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,118,0,Test-All-Neg-38-middor-drooty,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>38% of the middors are drooty.</font></i></div></center><h2>It is not the case that all of the middors are drooty.</h2></body>,False,NULL,898
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,120,0,Test-All-Neg-33-pengyl-sedest,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>33% of the pengyls are sedest.</font></i></div></center><h2>It is not the case that all of the pengyls are sedest.</h2></body>,False,NULL,831
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,95,0,Test-Some-75-boddle-molill,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>75% of the boddles are molill.</font></i></div></center><h2>Some of the boddles are molill.</h2></body>,True,NULL,990
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,96,0,Test-All-77-boddle-molill,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>77% of the boddles are molill.</font></i></div></center><h2>All of the boddles are molill.</h2></body>,True,NULL,902
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,25,0,Test-More-than-half-42-hadder-ollidy,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>42% of the hadders are ollidy.</font></i></div></center><h2>It is not the case that more than half of the hadders are ollidy.</h2></body>,True,NULL,667
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,93,0,Test-Some-92-pobbit-spippy,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>92% of the pobbits are spippy.</font></i></div></center><h2>Some of the pobbits are spippy.</h2></body>,True,NULL,802
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,20,0,Test-More-than-half-29-coamin-mucond,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>29% of the coamins are mucond.</font></i></div></center><h2>It is not the case that more than half of the coamins are mucond.</h2></body>,True,NULL,942
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,42,0,Test-More-than-half-73-coppar-hunene,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>73% of the coppars are hunene.</font></i></div></center><h2>It is not the case that more than half of the coppars are hunene.</h2></body>,True,NULL,694
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,89,0,Test-Some-62-pliper-sesare,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>62% of the plipers are sesare.</font></i></div></center><h2>Some of the plipers are sesare.</h2></body>,False,NULL,662
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,26,0,Test-More-than-half-41-zetten-unfobs,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>41% of the zettens are unfobs.</font></i></div></center><h2>It is not the case that more than half of the zettens are unfobs.</h2></body>,True,NULL,837
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,60,0,Test-All-21-chulk-vulhor,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>21% of the chulks are vulhor.</font></i></div></center><h2>All of the chulks are vulhor.</h2></body>,True,NULL,740
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,88,0,Test-All-69-menner-nandow,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>69% of the menners are nandow.</font></i></div></center><h2>All of the menners are nandow.</h2></body>,True,NULL,931
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,15,0,Test-More-than-half-17-clidge-hensly,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>17% of the clidges are hensly.</font></i></div></center><h2>It is not the case that more than half of the clidges are hensly.</h2></body>,True,NULL,695
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,48,0,Test-More-than-half-86-devole-sholly,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>86% of the devoles are sholly.</font></i></div></center><h2>It is not the case that more than half of the devoles are sholly.</h2></body>,True,NULL,741
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,41,0,Test-More-than-half-68-pliper-sesare,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>68% of the plipers are sesare.</font></i></div></center><h2>It is not the case that more than half of the plipers are sesare.</h2></body>,False,NULL,1086
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,62,0,Test-All-19-mecket-plumry,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>19% of the meckets are plumry.</font></i></div></center><h2>All of the meckets are plumry.</h2></body>,True,NULL,597
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,58,0,Test-All-16-puggle-entand,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>16% of the puggles are entand.</font></i></div></center><h2>All of the puggles are entand.</h2></body>,True,NULL,580
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,116,0,Test-All-Neg-29-coamin-mucond,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>29% of the coamins are mucond.</font></i></div></center><h2>It is not the case that all of the coamins are mucond.</h2></body>,False,NULL,596
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,51,0,Test-More-than-half-93-puctor-recure,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>93% of the puctors are recure.</font></i></div></center><h2>It is not the case that more than half of the puctors are recure.</h2></body>,True,NULL,698
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,45,0,Test-More-than-half-99-pobbit-spippy,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>99% of the pobbits are spippy.</font></i></div></center><h2>It is not the case that more than half of the pobbits are spippy.</h2></body>,True,NULL,1140
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,138,0,Test-All-Neg-67-coppar-hunene,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>67% of the coppars are hunene.</font></i></div></center><h2>It is not the case that all of the coppars are hunene.</h2></body>,True,NULL,962
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,117,0,Test-Some-Neg-40-middor-drooty,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>40% of the middors are drooty.</font></i></div></center><h2>It is not the case that some of the middors are drooty.</h2></body>,True,NULL,1696
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,126,0,Test-All-Neg-44-monter-melelt,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>44% of the monters are melelt.</font></i></div></center><h2>It is not the case that all of the monters are melelt.</h2></body>,False,NULL,1008
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,141,0,Test-Some-Neg-82-padnet-fanely,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>82% of the padnets are fanely.</font></i></div></center><h2>It is not the case that some of the padnets are fanely.</h2></body>,True,NULL,818
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,98,0,Test-All-81-jallem-sildal,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>81% of the jallems are sildal.</font></i></div></center><h2>All of the jallems are sildal.</h2></body>,False,NULL,740
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,70,0,Test-All-39-shamer-bloif,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>39% of the shamers are bloif.</font></i></div></center><h2>All of the shamers are bloif.</h2></body>,True,NULL,1005
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,122,0,Test-All-Neg-28-zetten-unfobs,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>28% of the zettens are unfobs.</font></i></div></center><h2>It is not the case that all of the zettens are unfobs.</h2></body>,False,NULL,1011
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,113,0,Test-Some-Neg-12-shrile-athoid,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>12% of the shriles are athoid.</font></i></div></center><h2>It is not the case that some of the shriles are athoid.</h2></body>,False,NULL,1156
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,80,0,Test-All-68-strant-potind,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>68% of the strants are potind.</font></i></div></center><h2>All of the strants are potind.</h2></body>,False,NULL,1191
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,92,0,Test-All-97-sporer-firtly,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>97% of the sporers are firtly.</font></i></div></center><h2>All of the sporers are firtly.</h2></body>,False,NULL,1272
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,147,0,Test-Some-Neg-95-chevel-podden,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>95% of the chevels are podden.</font></i></div></center><h2>It is not the case that some of the chevels are podden.</h2></body>,False,NULL,1014
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,86,0,Test-All-60-birler-enciad,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>60% of the birlers are enciad.</font></i></div></center><h2>All of the birlers are enciad.</h2></body>,True,NULL,926
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,19,0,Test-More-than-half-26-cosut-spover,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>26% of the cosuts are spover.</font></i></div></center><h2>It is not the case that more than half of the cosuts are spover.</h2></body>,True,NULL,635
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,91,0,Test-Some-90-sporer-firtly,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>90% of the sporers are firtly.</font></i></div></center><h2>Some of the sporers are firtly.</h2></body>,True,NULL,740
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,82,0,Test-All-52-umpond-marire,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>52% of the umponds are marire.</font></i></div></center><h2>All of the umponds are marire.</h2></body>,True,NULL,786
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,97,0,Test-Some-76-jallem-sildal,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>76% of the jallems are sildal.</font></i></div></center><h2>Some of the jallems are sildal.</h2></body>,False,NULL,995
