Quantifier,Percentage,A,B,Rtype
Some,30,shamered,bloives,Test-Some-30-shamered-bloives
Some,32,ancitted,smets,Test-Some-32-ancitted-smets
Some,48,haddered,ollidies,Test-Some-48-haddered-ollidies
Some,44,fleeved,scalves,Test-Some-44-fleeved-scalves
Some,49,shurried,presers,Test-Some-49-shurried-presers
Some,52,stranted,potinds,Test-Some-52-stranted-potinds
Some,59,umponded,marires,Test-Some-59-umponded-marires
Some,71,cathered,funders,Test-Some-71-cathered-funders
Some,68,bittled,enciads,Test-Some-68-bittled-enciads
Some,61,mennered,nandows,Test-Some-61-mennered-nandows
Some,62,plored,sesares,Test-Some-62-plored-sesares
Some,90,spoamed,zillies,Test-Some-90-spoamed-zillies
Some,92,pobbled,spippies,Test-Some-92-pobbled-spippies
Some,75,boddled,molils,Test-Some-75-boddled-molils
Some,76,jalled,sildals,Test-Some-76-jalled-sildals
Some,100,puctored,recures,Test-Some-100-puctored-recures
Some,80,awplored,nases,Test-Some-80-awplored-nases
All,17,kustled,chims,Test-All-17-kustled-chims
All,16,puggled,entands,Test-All-16-puggled-entands
All,21,chulked,vulhors,Test-All-21-chulked-vulhors
All,19,mecketted,plumries,Test-All-19-mecketted-plumries
All,6,clidged,henslies,Test-All-6-clidged-henslies
All,2,spunged,wenples,Test-All-2-spunged-wenples
All,25,cosued,spovers,Test-All-25-cosued-spovers
All,39,shamered,bloives,Test-All-39-shamered-bloives
All,40,ancitted,smets,Test-All-40-ancitted-smets
All,46,haddered,ollidies,Test-All-46-haddered-ollidies
All,30,fleeved,scalves,Test-All-30-fleeved-scalves
All,49,shurried,presers,Test-All-49-shurried-presers
All,68,stranted,potinds,Test-All-68-stranted-potinds
All,52,umponded,marires,Test-All-52-umponded-marires
All,62,cathered,funders,Test-All-62-cathered-funders
All,60,bittled,enciads,Test-All-60-bittled-enciads
All,69,mennered,nandows,Test-All-69-mennered-nandows
All,70,plored,sesares,Test-All-70-plored-sesares
All,97,spoamed,zillies,Test-All-97-spoamed-zillies
All,79,pobbled,spippies,Test-All-79-pobbled-spippies
All,77,boddled,molils,Test-All-77-boddled-molils
All,81,jalled,sildals,Test-All-81-jalled-sildals
All,76,puctored,recures,Test-All-76-puctored-recures
All,94,awplored,nases,Test-All-94-awplored-nases
Some-Neg,21,beckeled,racals,Test-Some-Neg21-beckeled-racals
Some-Neg,18,chadoped,shaples,Test-Some-Neg18-chadoped-shaples
Some-Neg,24,wernered,hurmers,Test-Some-Neg24-wernered-hurmers
Some-Neg,11,gukbared,soarses,Test-Some-Neg11-gukbared-soarses
Some-Neg,1,schoked,jabants,Test-Some-Neg1-schoked-jabants
Some-Neg,12,shriled,athoids,Test-Some-Neg12-shriled-athoids
Some-Neg,29,coamed,muconds,Test-Some-Neg29-coamed-muconds
Some-Neg,40,middored,drooties,Test-Some-Neg40-middored-drooties
Some-Neg,37,larred,dests,Test-Some-Neg37-larred-dests
Some-Neg,31,zettled,unfobs,Test-Some-Neg31-zettled-unfobs
Some-Neg,35,rikled,hullaws,Test-Some-Neg35-rikled-hullaws
Some-Neg,28,montered,melets,Test-Some-Neg28-montered-melets
Some-Neg,51,plettled,stubads,Test-Some-Neg51-plettled-stubads
Some-Neg,58,russered,huttles,Test-Some-Neg58-russered-huttles
Some-Neg,64,teckered,billers,Test-Some-Neg64-teckered-billers
Some-Neg,70,rastered,movels,Test-Some-Neg70-rastered-movels
Some-Neg,69,bamed,zats,Test-Some-Neg69-bamed-zats
Some-Neg,53,coppled,hunens,Test-Some-Neg53-coppled-hunens
Some-Neg,93,poared,nents,Test-Some-Neg93-poared-nents
Some-Neg,82,raddened,fanes,Test-Some-Neg82-raddened-fanes
Some-Neg,79,devoled,shollies,Test-Some-Neg79-devoled-shollies
Some-Neg,77,dordered,coggons,Test-Some-Neg77-dordered-coggons
Some-Neg,95,choved,poddens,Test-Some-Neg95-choved-poddens
Some-Neg,87,ingelled,nalils,Test-Some-Neg87-ingelled-nalils
All-Neg,11,beckeled,racals,Test-All-Neg11-beckeled-racals
All-Neg,9,chadoped,shaples,Test-All-Neg9-chadoped-shaples
All-Neg,24,wernered,hurmers,Test-All-Neg24-wernered-hurmers
All-Neg,0,gukbared,soarses,Test-All-Neg0-gukbared-soarses
All-Neg,5,schoked,jabants,Test-All-Neg5-schoked-jabants
All-Neg,3,shriled,athoids,Test-All-Neg3-shriled-athoids
All-Neg,29,coamed,muconds,Test-All-Neg29-coamed-muconds
All-Neg,38,middored,drooties,Test-All-Neg38-middored-drooties
All-Neg,33,larred,dests,Test-All-Neg33-larred-dests
All-Neg,28,zettled,unfobs,Test-All-Neg28-zettled-unfobs
All-Neg,37,rikled,hullaws,Test-All-Neg37-rikled-hullaws
All-Neg,44,montered,melets,Test-All-Neg44-montered-melets
All-Neg,51,plettled,stubads,Test-All-Neg51-plettled-stubads
All-Neg,61,russered,huttles,Test-All-Neg61-russered-huttles
All-Neg,55,teckered,billers,Test-All-Neg55-teckered-billers
All-Neg,74,rastered,movels,Test-All-Neg74-rastered-movels
All-Neg,59,bamed,zats,Test-All-Neg59-bamed-zats
All-Neg,67,coppled,hunens,Test-All-Neg67-coppled-hunens
All-Neg,83,poared,nents,Test-All-Neg83-poared-nents
All-Neg,89,raddened,fanes,Test-All-Neg89-raddened-fanes
All-Neg,84,devoled,shollies,Test-All-Neg84-devoled-shollies
All-Neg,80,dordered,coggons,Test-All-Neg80-dordered-coggons
All-Neg,92,choved,poddens,Test-All-Neg92-choved-poddens
All-Neg,88,ingelled,nalils,Test-All-Neg88-ingelled-nalils
