Quantifier,Percentage,A,B,Rtype
Some,75,boddle,molill,Test-Some-75-boddle-molill
Some,76,jallem,sildal,Test-Some-76-jallem-sildal
Some,100,puctor,recure,Test-Some-100-puctor-recure
Some,80,awplor,fasees,Test-Some-80-awplor-fasees
All,17,kustle,reshix,Test-All-17-kustle-reshix
All,16,puggle,entand,Test-All-16-puggle-entand
All,21,chulk,vulhor,Test-All-21-chulk-vulhor
All,19,mecket,plumry,Test-All-19-mecket-plumry
All,6,clidge,hensly,Test-All-6-clidge-hensly
All,2,spunge,wenple,Test-All-2-spunge-wenple
All,25,cosut,spover,Test-All-25-cosut-spover
All,39,shamer,bloif,Test-All-39-shamer-bloif
All,40,ancit,smeath,Test-All-40-ancit-smeath
All,46,hadder,ollidy,Test-All-46-hadder-ollidy
All,30,fleeve,scalfs,Test-All-30-fleeve-scalfs
All,49,shurrie,preser,Test-All-49-shurrie-preser
All,68,strant,potind,Test-All-68-strant-potind
All,52,umpond,marire,Test-All-52-umpond-marire
All,62,cather,funder,Test-All-62-cather-funder
All,60,birler,enciad,Test-All-60-birler-enciad
All,69,menner,nandow,Test-All-69-menner-nandow
All,70,pliper,sesare,Test-All-70-pliper-sesare
All,97,sporer,firtly,Test-All-97-sporer-firtly
All,79,pobbit,spippy,Test-All-79-pobbit-spippy
All,77,boddle,molill,Test-All-77-boddle-molill
All,81,jallem,sildal,Test-All-81-jallem-sildal
All,76,puctor,recure,Test-All-76-puctor-recure
All,94,awplor,fasees,Test-All-94-awplor-fasees
Some-Neg,21,beckel,racual,Test-Some-Neg-21-beckel-racual
Some-Neg,18,chadop,shaple,Test-Some-Neg-18-chadop-shaple
Some-Neg,24,werner,hurmer,Test-Some-Neg-24-werner-hurmer
Some-Neg,11,gukbar,soarse,Test-Some-Neg-11-gukbar-soarse
Some-Neg,1,schook,jabant,Test-Some-Neg-1-schook-jabant
Some-Neg,12,shrile,athoid,Test-Some-Neg-12-shrile-athoid
Some-Neg,29,coamin,mucond,Test-Some-Neg-29-coamin-mucond
Some-Neg,40,middor,drooty,Test-Some-Neg-40-middor-drooty
Some-Neg,37,pengyl,sedest,Test-Some-Neg-37-pengyl-sedest
Some-Neg,31,zetten,unfobs,Test-Some-Neg-31-zetten-unfobs
Some-Neg,35,tiklet,hullaw,Test-Some-Neg-35-tiklet-hullaw
Some-Neg,28,monter,melelt,Test-Some-Neg-28-monter-melelt
Some-Neg,51,pluset,stubad,Test-Some-Neg-51-pluset-stubad
Some-Neg,58,russer,huttle,Test-Some-Neg-58-russer-huttle
Some-Neg,64,tecker,biller,Test-Some-Neg-64-tecker-biller
Some-Neg,70,raster,movell,Test-Some-Neg-70-raster-movell
Some-Neg,69,bamet,unzast,Test-Some-Neg-69-bamet-unzast
Some-Neg,53,coppar,hunene,Test-Some-Neg-53-coppar-hunene
Some-Neg,93,pirter,secent,Test-Some-Neg-93-pirter-secent
Some-Neg,82,padnet,fanely,Test-Some-Neg-82-padnet-fanely
Some-Neg,79,devole,sholly,Test-Some-Neg-79-devole-sholly
Some-Neg,77,dorder,coggon,Test-Some-Neg-77-dorder-coggon
Some-Neg,95,chevel,podden,Test-Some-Neg-95-chevel-podden
Some-Neg,87,ingell,nalill,Test-Some-Neg-87-ingell-nalill
All-Neg,11,beckel,racual,Test-All-Neg-11-beckel-racual
All-Neg,9,chadop,shaple,Test-All-Neg-9-chadop-shaple
All-Neg,24,werner,hurmer,Test-All-Neg-24-werner-hurmer
All-Neg,0,gukbar,soarse,Test-All-Neg-0-gukbar-soarse
All-Neg,5,schook,jabant,Test-All-Neg-5-schook-jabant
All-Neg,3,shrile,athoid,Test-All-Neg-3-shrile-athoid
All-Neg,29,coamin,mucond,Test-All-Neg-29-coamin-mucond
All-Neg,38,middor,drooty,Test-All-Neg-38-middor-drooty
All-Neg,33,pengyl,sedest,Test-All-Neg-33-pengyl-sedest
All-Neg,28,zetten,unfobs,Test-All-Neg-28-zetten-unfobs
All-Neg,37,tiklet,hullaw,Test-All-Neg-37-tiklet-hullaw
All-Neg,44,monter,melelt,Test-All-Neg-44-monter-melelt
All-Neg,51,pluset,stubad,Test-All-Neg-51-pluset-stubad
All-Neg,61,russer,huttle,Test-All-Neg-61-russer-huttle
All-Neg,55,tecker,biller,Test-All-Neg-55-tecker-biller
All-Neg,74,raster,movell,Test-All-Neg-74-raster-movell
All-Neg,59,bamet,unzast,Test-All-Neg-59-bamet-unzast
All-Neg,67,coppar,hunene,Test-All-Neg-67-coppar-hunene
All-Neg,83,pirter,secent,Test-All-Neg-83-pirter-secent
All-Neg,89,padnet,fanely,Test-All-Neg-89-padnet-fanely
All-Neg,84,devole,sholly,Test-All-Neg-84-devole-sholly
All-Neg,80,dorder,coggon,Test-All-Neg-80-dorder-coggon
All-Neg,92,chevel,podden,Test-All-Neg-92-chevel-podden
All-Neg,88,ingell,nalill,Test-All-Neg-88-ingell-nalill
